Feature,Coefficient,Abs_Coefficient,Impact
dti,41.93280828235324,41.93280828235324,REJECTION Factor
emp_length,-2.0055635812196217,2.0055635812196217,ACCEPTANCE Factor
risk_score,-1.6968598295077113,1.6968598295077113,ACCEPTANCE Factor
loan_amnt,0.08548708423109175,0.08548708423109175,REJECTION Factor
