Feature,RF_Importance,MI_Score,RF_Norm,MI_Norm,Combined_Score
risk_score,0.3438626768328599,0.5633833510273736,0.7184075472795919,1.0,0.8592037736397959
emp_length,0.4786456909242832,0.38375162407880303,1.0,0.6811554217550128,0.8405777108775063
dti,0.08339161547701639,0.11306327733995514,0.17422410158124263,0.2006862239251043,0.18745516275317348
loan_amnt,0.04444273155576811,0.1285270558571503,0.09285100106082118,0.22813428125408952,0.16049264115745535
purpose_other,0.0157550522076577,0.022749905907650803,0.032915896886555246,0.040380862988167066,0.036648379937361156
purpose_car financing,0.010340211442421738,0.013719676562368388,0.02160305971302989,0.02435229322511836,0.022977676469074122
purpose_debt_consolidation,0.004449738226091293,0.013689413274555084,0.009296517884656347,0.02429857618190415,0.01679754703328025
purpose_credit_card,0.006504042709657041,0.009410699171829462,0.013588428419981145,0.016703900025920745,0.015146164222950946
purpose_major purchase,0.004297551079366218,0.006552336845077944,0.008978564229978716,0.011630334537094939,0.010304449383536828
purpose_home buying,0.00336058771974243,0.003777241073412485,0.007021034104063501,0.006704566378336155,0.006862800241199828
purpose_home_improvement,0.0005421576246110016,0.003453269469939624,0.0011326909129048554,0.006129519915067275,0.0036311054139860654
addr_state_OH,3.0632458527387846e-05,0.003121219349154103,6.399819137248555e-05,0.005540134161689932,0.0028020661765312087
purpose_small_business,0.0011248296155800333,0.001302957814828698,0.0023500255761374224,0.0023127375213567326,0.0023313815487470777
addr_state_KY,3.828436104138253e-05,0.0023307108679111455,7.998476068478536e-05,0.004136989251920405,0.002108487006302595
addr_state_MD,4.1726562619114105e-05,0.002020979884589824,8.71763047496333e-05,0.003587219751709754,0.0018371980282296937
addr_state_CA,0.00016452894007476615,0.001863638682892077,0.0003437384754411023,0.0033079406402294034,0.001825839557835253
purpose_vacation,0.00010053359616741347,0.001883561461148986,0.00021003760834716642,0.003343303378976614,0.0017766704936618902
addr_state_IN,3.9208042804671125e-05,0.0019440116871323188,8.191454252718517e-05,0.003450601945526543,0.0017662582440268642
addr_state_MO,4.026682484550013e-05,0.0019216978898981552,8.412657965799993e-05,0.003410995171216524,0.001747560875437262
addr_state_CT,5.6016943804374525e-05,0.001815028263126628,0.00011703216986285546,0.003221657615222001,0.0016693448925424283
addr_state_GA,6.316786535710439e-05,0.0017805358705238472,0.00013197207570201836,0.0031604339519030883,0.0016462030138025532
addr_state_TX,5.1371590093749655e-05,0.0015740176237821757,0.00010732696662232379,0.0027938660610254662,0.001450596513823895
